Date,Time,Temperature(°C),Interval(in minutes)
2025-07-28,07:58:34,-,5 min
28-07-2025,07:58:34,25.8,5
28-07-2025,08:03:34,35.7,5
28-07-2025,08:08:34,36.1,5
28-07-2025,08:13:34,36.2,5
28-07-2025,08:18:34,36.2,5
28-07-2025,08:23:34,36.3,5
28-07-2025,08:28:34,36.4,5
28-07-2025,08:33:34,36.5,5
28-07-2025,08:38:34,36.5,5
28-07-2025,08:43:34,36.6,5
28-07-2025,08:48:34,36.6,5
28-07-2025,08:53:34,36.6,5
28-07-2025,08:58:34,36.7,5
28-07-2025,09:03:34,36.7,5
28-07-2025,09:08:34,36.9,5
28-07-2025,09:13:34,36.1,5
28-07-2025,09:18:34,36.5,5
28-07-2025,09:23:34,36.5,5
28-07-2025,09:28:34,36.4,5
28-07-2025,09:33:34,36.6,5
28-07-2025,09:38:34,36.3,5
28-07-2025,09:43:34,36.5,5
28-07-2025,09:48:34,36.7,5
28-07-2025,09:53:34,36.5,5
28-07-2025,09:58:34,36.4,5
28-07-2025,10:03:34,36.5,5
28-07-2025,10:08:34,36.5,5
28-07-2025,10:13:34,36.6,5
28-07-2025,10:18:34,36.7,5
28-07-2025,10:23:34,36.7,5
28-07-2025,10:28:34,36.7,5
28-07-2025,10:33:34,36.7,5
28-07-2025,10:38:34,36.7,5
28-07-2025,10:43:34,36.7,5
28-07-2025,10:48:34,36.7,5
28-07-2025,10:53:34,36.7,5
28-07-2025,10:58:34,36.7,5
28-07-2025,11:03:34,36.7,5
28-07-2025,11:08:34,36.6,5
28-07-2025,11:13:34,36.6,5
28-07-2025,11:18:34,36.7,5
28-07-2025,11:23:34,36.6,5
28-07-2025,11:28:34,36.7,5
28-07-2025,11:33:34,36.6,5
28-07-2025,11:38:34,36.6,5
28-07-2025,11:43:34,36.5,5
28-07-2025,11:48:34,36.5,5
28-07-2025,11:53:34,36.7,5
28-07-2025,11:58:34,36.4,5
28-07-2025,12:03:34,36.7,5
28-07-2025,12:08:34,36.6,5
28-07-2025,12:13:34,37.0,5
28-07-2025,12:18:34,37.0,5
28-07-2025,12:23:34,36.8,5
28-07-2025,12:28:34,37.0,5
28-07-2025,12:33:34,36.8,5
28-07-2025,12:38:34,37.0,5
28-07-2025,12:43:34,37.0,5
28-07-2025,12:48:34,36.8,5
28-07-2025,12:53:34,36.7,5
28-07-2025,12:58:34,36.8,5
28-07-2025,13:03:34,36.8,5
28-07-2025,13:08:34,36.7,5
28-07-2025,13:13:34,36.3,5
28-07-2025,13:18:34,36.3,5
28-07-2025,13:23:34,36.6,5
28-07-2025,13:28:34,36.4,5
28-07-2025,13:33:34,36.2,5
28-07-2025,13:38:34,36.3,5
28-07-2025,13:43:34,36.3,5
28-07-2025,13:48:34,36.4,5
28-07-2025,13:53:34,36.4,5
28-07-2025,13:58:34,36.3,5
28-07-2025,14:03:34,36.2,5
28-07-2025,14:08:34,36.1,5
28-07-2025,14:13:34,36.1,5
28-07-2025,14:18:34,36.1,5
28-07-2025,14:23:34,36.1,5
28-07-2025,14:28:34,36.1,5
28-07-2025,14:33:34,36.1,5
28-07-2025,14:38:34,36.1,5
28-07-2025,14:43:34,36.0,5
28-07-2025,14:48:34,35.8,5
28-07-2025,14:53:34,36.0,5
28-07-2025,14:58:34,35.6,5
28-07-2025,15:03:34,35.8,5
28-07-2025,15:08:34,35.8,5
28-07-2025,15:13:34,35.0,5
28-07-2025,15:18:34,34.0,5
28-07-2025,15:23:34,35.9,5
28-07-2025,15:28:34,36.5,5
28-07-2025,15:33:34,36.7,5
28-07-2025,15:38:34,36.8,5
28-07-2025,15:43:34,36.9,5
28-07-2025,15:48:34,37.0,5
28-07-2025,15:53:34,37.1,5
28-07-2025,15:58:34,37.1,5
28-07-2025,16:03:34,37.1,5
28-07-2025,16:08:34,37.1,5
28-07-2025,16:13:34,37.1,5
28-07-2025,16:18:34,37.2,5
28-07-2025,16:23:34,37.2,5
28-07-2025,16:28:34,37.2,5
28-07-2025,16:33:34,37.3,5
28-07-2025,16:38:34,37.3,5
28-07-2025,16:43:34,37.3,5
28-07-2025,16:48:34,37.3,5
28-07-2025,16:53:34,37.4,5
28-07-2025,16:58:34,37.4,5
28-07-2025,17:03:34,37.4,5
28-07-2025,17:08:34,37.3,5
28-07-2025,17:13:34,37.4,5
28-07-2025,17:18:34,37.4,5
28-07-2025,17:23:34,37.4,5
