Date,Time,Temperature(°C),Interval(in minutes)
2025-08-08,08:18:28,-,5 min
08-08-2025,08:18:28,23.3,5
08-08-2025,08:23:28,34.6,5
08-08-2025,08:28:28,35.1,5
08-08-2025,08:33:28,35.2,5
08-08-2025,08:38:28,35.4,5
08-08-2025,08:43:28,35.3,5
08-08-2025,08:48:28,35.2,5
08-08-2025,08:53:28,35.2,5
08-08-2025,08:58:28,35.3,5
08-08-2025,09:03:28,35.4,5
08-08-2025,09:08:28,35.4,5
08-08-2025,09:13:28,35.5,5
08-08-2025,09:18:28,35.3,5
08-08-2025,09:23:28,35.2,5
08-08-2025,09:28:28,35.2,5
08-08-2025,09:33:28,35.3,5
08-08-2025,09:38:28,35.3,5
08-08-2025,09:43:28,35.2,5
08-08-2025,09:48:28,35.1,5
08-08-2025,09:53:28,34.8,5
08-08-2025,09:58:28,35.0,5
08-08-2025,10:03:28,35.0,5
08-08-2025,10:08:28,35.2,5
08-08-2025,10:13:28,34.9,5
08-08-2025,10:18:28,35.5,5
08-08-2025,10:23:28,35.5,5
08-08-2025,10:28:28,35.5,5
08-08-2025,10:33:28,35.5,5
08-08-2025,10:38:28,35.5,5
08-08-2025,10:43:28,35.6,5
08-08-2025,10:48:28,35.6,5
08-08-2025,10:53:28,35.6,5
08-08-2025,10:58:28,35.6,5
08-08-2025,11:03:28,35.5,5
08-08-2025,11:08:28,35.7,5
08-08-2025,11:13:28,35.4,5
08-08-2025,11:18:28,35.2,5
08-08-2025,11:23:28,34.9,5
08-08-2025,11:28:28,34.5,5
08-08-2025,11:33:28,34.0,5
08-08-2025,11:38:28,33.5,5
08-08-2025,11:43:28,33.6,5
08-08-2025,11:48:28,33.3,5
08-08-2025,11:53:28,33.2,5
08-08-2025,11:58:28,33.0,5
08-08-2025,12:03:28,33.0,5
08-08-2025,12:08:28,33.0,5
08-08-2025,12:13:28,33.2,5
08-08-2025,12:18:28,33.2,5
08-08-2025,12:23:28,33.3,5
08-08-2025,12:28:28,33.3,5
08-08-2025,12:33:28,33.0,5
08-08-2025,12:38:28,32.0,5
08-08-2025,12:43:28,32.7,5
08-08-2025,12:48:28,33.6,5
08-08-2025,12:53:28,33.1,5
08-08-2025,12:58:28,33.1,5
08-08-2025,13:03:28,33.2,5
08-08-2025,13:08:28,33.3,5
08-08-2025,13:13:28,32.9,5
08-08-2025,13:18:28,32.7,5
08-08-2025,13:23:28,33.5,5
08-08-2025,13:28:28,34.3,5
08-08-2025,13:33:28,34.2,5
08-08-2025,13:38:28,34.1,5
08-08-2025,13:43:28,33.4,5
08-08-2025,13:48:28,33.1,5
08-08-2025,13:53:28,33.7,5
08-08-2025,13:58:28,33.6,5
08-08-2025,14:03:28,33.4,5
08-08-2025,14:08:28,33.6,5
08-08-2025,14:13:28,33.5,5
08-08-2025,14:18:28,33.5,5
08-08-2025,14:23:28,33.6,5
08-08-2025,14:28:28,33.4,5
08-08-2025,14:33:28,33.6,5
08-08-2025,14:38:28,33.4,5
08-08-2025,14:43:28,33.6,5
08-08-2025,14:48:28,33.6,5
08-08-2025,14:53:28,33.5,5
08-08-2025,14:58:28,33.4,5
08-08-2025,15:03:28,33.3,5
08-08-2025,15:08:28,33.5,5
08-08-2025,15:13:28,33.4,5
08-08-2025,15:18:28,33.6,5
08-08-2025,15:23:28,33.7,5
08-08-2025,15:28:28,34.0,5
08-08-2025,15:33:28,34.2,5
08-08-2025,15:38:28,34.4,5
08-08-2025,15:43:28,34.5,5
08-08-2025,15:48:28,34.5,5
08-08-2025,15:53:28,34.6,5
08-08-2025,15:58:28,33.8,5
08-08-2025,16:03:28,34.1,5
08-08-2025,16:08:28,33.0,5
08-08-2025,16:13:28,32.9,5
08-08-2025,16:18:28,33.2,5
08-08-2025,16:23:28,33.2,5
08-08-2025,16:28:28,29.1,5
08-08-2025,16:33:28,25.2,5
08-08-2025,16:38:28,23.7,5
08-08-2025,16:43:28,23.5,5
08-08-2025,16:48:28,23.8,5
08-08-2025,16:53:28,23.3,5
08-08-2025,16:58:28,23.2,5
08-08-2025,17:03:28,23.1,5
08-08-2025,17:08:28,23.0,5
08-08-2025,17:13:28,23.0,5
08-08-2025,17:18:28,22.9,5
08-08-2025,17:23:28,22.8,5
08-08-2025,17:28:28,22.8,5
08-08-2025,17:33:28,22.7,5
08-08-2025,17:38:28,22.7,5
08-08-2025,17:43:28,22.6,5
08-08-2025,17:48:28,22.6,5
08-08-2025,17:53:28,22.6,5
08-08-2025,17:58:28,22.5,5
08-08-2025,18:03:28,22.5,5
08-08-2025,18:08:28,22.5,5
08-08-2025,18:13:28,22.4,5
08-08-2025,18:18:28,22.3,5
08-08-2025,18:23:28,22.4,5
