Date,Time,Temperature(°C),Interval(in minutes)
2025-08-10,20:00:02,-,5 min
10-08-2025,20:00:02,32.1,5
10-08-2025,20:05:02,35.2,5
10-08-2025,20:10:02,35.4,5
10-08-2025,20:15:02,35.6,5
10-08-2025,20:20:02,35.5,5
10-08-2025,20:25:02,35.4,5
10-08-2025,20:30:02,35.4,5
10-08-2025,20:35:02,35.5,5
10-08-2025,20:40:02,35.6,5
10-08-2025,20:45:02,34.7,5
10-08-2025,20:50:02,34.5,5
10-08-2025,20:55:02,34.7,5
10-08-2025,21:00:02,34.6,5
10-08-2025,21:05:02,34.7,5
10-08-2025,21:10:02,34.0,5
10-08-2025,21:15:02,34.2,5
10-08-2025,21:20:02,34.2,5
10-08-2025,21:25:02,32.9,5
10-08-2025,21:30:02,24.9,5
10-08-2025,21:35:02,23.8,5
10-08-2025,21:40:02,23.8,5
10-08-2025,21:45:02,23.8,5
10-08-2025,21:50:02,23.8,5
10-08-2025,21:55:02,23.7,5
10-08-2025,22:00:02,23.7,5
10-08-2025,22:05:02,23.7,5
