Date,Time,Temperature(°C),Interval(in minutes)
2025-08-07,09:10:43,-,5 min
07-08-2025,09:10:43,35.1,5
07-08-2025,09:15:43,35.3,5
07-08-2025,09:20:43,35.4,5
07-08-2025,09:25:43,35.3,5
07-08-2025,09:30:43,35.1,5
07-08-2025,09:35:43,34.8,5
07-08-2025,09:40:43,34.7,5
07-08-2025,09:45:43,34.5,5
07-08-2025,09:50:43,34.4,5
07-08-2025,09:55:43,33.8,5
07-08-2025,10:00:43,34.4,5
07-08-2025,10:05:43,34.9,5
07-08-2025,10:10:43,34.1,5
07-08-2025,10:15:43,34.8,5
07-08-2025,10:20:43,35.1,5
07-08-2025,10:25:43,34.9,5
07-08-2025,10:30:43,34.8,5
07-08-2025,10:35:43,34.9,5
07-08-2025,10:40:43,35.0,5
07-08-2025,10:45:43,34.6,5
07-08-2025,10:50:43,34.8,5
07-08-2025,10:55:43,34.8,5
07-08-2025,11:00:43,34.8,5
07-08-2025,11:05:43,34.9,5
07-08-2025,11:10:43,35.1,5
07-08-2025,11:15:43,35.1,5
07-08-2025,11:20:43,35.2,5
07-08-2025,11:25:43,35.3,5
07-08-2025,11:30:43,35.4,5
07-08-2025,11:35:43,35.3,5
07-08-2025,11:40:43,35.4,5
07-08-2025,11:45:43,35.3,5
07-08-2025,11:50:43,35.0,5
07-08-2025,11:55:43,35.2,5
07-08-2025,12:00:43,35.2,5
07-08-2025,12:05:43,35.3,5
07-08-2025,12:10:43,35.3,5
07-08-2025,12:15:43,35.5,5
07-08-2025,12:20:43,35.5,5
07-08-2025,12:25:43,35.5,5
07-08-2025,12:30:43,35.4,5
07-08-2025,12:35:43,35.5,5
07-08-2025,12:40:43,35.5,5
07-08-2025,12:45:43,35.7,5
07-08-2025,12:50:43,35.6,5
07-08-2025,12:55:43,35.9,5
07-08-2025,13:00:43,35.9,5
07-08-2025,13:05:43,35.4,5
07-08-2025,13:10:43,35.7,5
07-08-2025,13:15:43,35.8,5
07-08-2025,13:20:43,35.9,5
07-08-2025,13:25:43,35.8,5
07-08-2025,13:30:43,35.8,5
07-08-2025,13:35:43,35.6,5
07-08-2025,13:40:43,35.6,5
07-08-2025,13:45:43,35.3,5
07-08-2025,13:50:43,35.3,5
07-08-2025,13:55:43,35.1,5
07-08-2025,14:00:43,35.7,5
07-08-2025,14:05:43,36.7,5
07-08-2025,14:10:43,37.3,5
07-08-2025,14:15:43,37.4,5
07-08-2025,14:20:43,37.5,5
07-08-2025,14:25:43,37.5,5
07-08-2025,14:30:43,37.6,5
07-08-2025,14:35:43,37.7,5
07-08-2025,14:40:43,37.7,5
07-08-2025,14:45:43,37.8,5
07-08-2025,14:50:43,37.8,5
07-08-2025,14:55:43,37.8,5
07-08-2025,15:00:43,37.8,5
07-08-2025,15:05:43,37.9,5
07-08-2025,15:10:43,37.9,5
07-08-2025,15:15:43,38.0,5
07-08-2025,15:20:43,38.0,5
07-08-2025,15:25:43,38.0,5
07-08-2025,15:30:43,37.9,5
07-08-2025,15:35:43,37.9,5
07-08-2025,15:40:43,37.9,5
07-08-2025,15:45:43,37.9,5
07-08-2025,15:50:43,38.1,5
07-08-2025,15:55:43,38.1,5
07-08-2025,16:00:43,38.1,5
07-08-2025,16:05:43,37.9,5
07-08-2025,16:10:43,37.9,5
07-08-2025,16:15:43,37.9,5
07-08-2025,16:20:43,31.4,5
07-08-2025,16:25:43,28.8,5
07-08-2025,16:30:43,28.3,5
07-08-2025,16:35:43,27.9,5
07-08-2025,16:40:43,28.2,5
07-08-2025,16:45:43,28.3,5
07-08-2025,16:50:43,28.4,5
07-08-2025,16:55:43,25.5,5
07-08-2025,17:00:43,26.3,5
07-08-2025,17:05:43,26.7,5
07-08-2025,17:10:43,27.0,5
07-08-2025,17:15:43,27.3,5
07-08-2025,17:20:43,27.3,5
07-08-2025,17:25:43,27.1,5
07-08-2025,17:30:43,27.3,5
07-08-2025,17:35:43,27.4,5
07-08-2025,17:40:43,26.9,5
07-08-2025,17:45:43,26.6,5
